Title:,"Time Series, Area-Averaged of Near surface wind speed 3-hourly 0.25 deg. [GLDAS (3-hourly)"
User Start Date:,2015-01-01T00:00:00Z
User End Date:,2025-01-01T23:59:59Z
User Bounding Box:,""
Data Bounding Box:,"-179.875,-59.875,179.875,89.875"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2015-01-01T00:00:00Z&endtime=2025-01-01T23:59:59Z&data=GLDAS_NOAH025_3H_2_1_Wind_f_inst&variableFacets=dataProductPlatformInstrument%3AGLDAS%20Model%3B&dataKeyword=Wind&portal=GIOVANNI&format=json"
Fill Value (mean_GLDAS_NOAH025_3H_2_1_Wind_f_inst):, -9999

time, mean_GLDAS_NOAH025_3H_2_1_Wind_f_inst
2015-01-01 00:00:00,3.30988169
2015-01-01 03:00:00,3.32650185
2015-01-01 06:00:00,3.30608225
2015-01-01 09:00:00,3.5208056
2015-01-01 12:00:00,3.55197954
2015-01-01 15:00:00,3.6147027
2015-01-01 18:00:00,3.4193542
2015-01-01 21:00:00,3.36503935
2015-01-02 00:00:00,3.19518113
2015-01-02 03:00:00,3.21048784
2015-01-02 06:00:00,3.20763278
2015-01-02 09:00:00,3.43996429
2015-01-02 12:00:00,3.46761465
2015-01-02 15:00:00,3.56491303
2015-01-02 18:00:00,3.37981153
2015-01-02 21:00:00,3.40940285
2015-01-03 00:00:00,3.29207921
2015-01-03 03:00:00,3.31309533
2015-01-03 06:00:00,3.33037806
2015-01-03 09:00:00,3.57635403
2015-01-03 12:00:00,3.55894971
2015-01-03 15:00:00,3.63725495
2015-01-03 18:00:00,3.42616367
2015-01-03 21:00:00,3.46541142
2015-01-04 00:00:00,3.32769442
2015-01-04 03:00:00,3.34849167
2015-01-04 06:00:00,3.41759562
2015-01-04 09:00:00,3.66858125
2015-01-04 12:00:00,3.59220028
2015-01-04 15:00:00,3.59799862
2015-01-04 18:00:00,3.40517545
2015-01-04 21:00:00,3.45640206
2015-01-05 00:00:00,3.28163362
2015-01-05 03:00:00,3.35878563
2015-01-05 06:00:00,3.37293792
2015-01-05 09:00:00,3.56966615
2015-01-05 12:00:00,3.46162295
2015-01-05 15:00:00,3.54547787
2015-01-05 18:00:00,3.39838815
2015-01-05 21:00:00,3.40438104
2015-01-06 00:00:00,3.24616456
2015-01-06 03:00:00,3.28818631
2015-01-06 06:00:00,3.29584765
2015-01-06 09:00:00,3.51293254
2015-01-06 12:00:00,3.50366974
2015-01-06 15:00:00,3.5518012
2015-01-06 18:00:00,3.38169646
2015-01-06 21:00:00,3.41346526
2015-01-07 00:00:00,3.28449655
2015-01-07 03:00:00,3.34615469
2015-01-07 06:00:00,3.37284636
2015-01-07 09:00:00,3.68611288
2015-01-07 12:00:00,3.69966865
2015-01-07 15:00:00,3.79346704
2015-01-07 18:00:00,3.61190343
2015-01-07 21:00:00,3.66821671
2015-01-08 00:00:00,3.51918316
2015-01-08 03:00:00,3.60929441
2015-01-08 06:00:00,3.60151649
2015-01-08 09:00:00,3.81970906
2015-01-08 12:00:00,3.8210392
2015-01-08 15:00:00,3.89924479
2015-01-08 18:00:00,3.71364784
2015-01-08 21:00:00,3.7490015
2015-01-09 00:00:00,3.61098361
2015-01-09 03:00:00,3.65939045
2015-01-09 06:00:00,3.60175323
2015-01-09 09:00:00,3.83231449
2015-01-09 12:00:00,3.83165431
2015-01-09 15:00:00,3.95220685
2015-01-09 18:00:00,3.67681813
2015-01-09 21:00:00,3.67673469
2015-01-10 00:00:00,3.5172205
2015-01-10 03:00:00,3.53816581
2015-01-10 06:00:00,3.51179552
2015-01-10 09:00:00,3.70747042
2015-01-10 12:00:00,3.66585708
2015-01-10 15:00:00,3.69776654
2015-01-10 18:00:00,3.43354344
2015-01-10 21:00:00,3.4322269
2015-01-11 00:00:00,3.28752422
2015-01-11 03:00:00,3.24565029
2015-01-11 06:00:00,3.18893242
2015-01-11 09:00:00,3.35853529
2015-01-11 12:00:00,3.36399865
2015-01-11 15:00:00,3.42333007
2015-01-11 18:00:00,3.21307921
2015-01-11 21:00:00,3.24527764
2015-01-12 00:00:00,3.11477566
2015-01-12 03:00:00,3.10735822
2015-01-12 06:00:00,3.13449788
2015-01-12 09:00:00,3.32910109
2015-01-12 12:00:00,3.34581089
2015-01-12 15:00:00,3.41510701
2015-01-12 18:00:00,3.2628181
2015-01-12 21:00:00,3.32954383
2015-01-13 00:00:00,3.24039197
2015-01-13 03:00:00,3.27673793
2015-01-13 06:00:00,3.26632619
2015-01-13 09:00:00,3.492378
2015-01-13 12:00:00,3.4435029
2015-01-13 15:00:00,3.50615239
2015-01-13 18:00:00,3.31260586
2015-01-13 21:00:00,3.30178881
2015-01-14 00:00:00,3.17385387
2015-01-14 03:00:00,3.15269923
2015-01-14 06:00:00,3.26632619
2015-01-14 09:00:00,3.31185865
2015-01-14 12:00:00,3.27570772
2015-01-14 15:00:00,3.1417563
2015-01-14 18:00:00,2.99654269
2015-01-14 21:00:00,2.97862649
2015-01-15 00:00:00,2.98012066
2015-01-15 03:00:00,2.96085405
2015-01-15 06:00:00,3.11445117
2015-01-15 09:00:00,3.30021429
2015-01-15 12:00:00,3.27518654
2015-01-15 15:00:00,3.19284177
2015-01-15 18:00:00,3.07493424
2015-01-15 21:00:00,3.07070971
2015-01-16 00:00:00,2.98385835
2015-01-16 03:00:00,3.02782965
2015-01-16 06:00:00,3.15338159
2015-01-16 09:00:00,3.31557727
2015-01-16 12:00:00,3.33889437
2015-01-16 15:00:00,3.28419948
2015-01-16 18:00:00,3.1247406
2015-01-16 21:00:00,3.1480062
2015-01-17 00:00:00,3.04285216
2015-01-17 03:00:00,3.11827087
2015-01-17 06:00:00,3.24564171
2015-01-17 09:00:00,3.39470506
2015-01-17 12:00:00,3.39027953
2015-01-17 15:00:00,3.32886982
2015-01-17 18:00:00,3.20674896
2015-01-17 21:00:00,3.17182374
2015-01-18 00:00:00,3.04000282
2015-01-18 03:00:00,3.04826188
2015-01-18 06:00:00,3.12436938
2015-01-18 09:00:00,3.2091043
2015-01-18 12:00:00,3.19784546
2015-01-18 15:00:00,3.12953806
2015-01-18 18:00:00,3.04768372
2015-01-18 21:00:00,3.00702667
2015-01-19 00:00:00,2.88037586
2015-01-19 03:00:00,2.892097
2015-01-19 06:00:00,3.04314351
2015-01-19 09:00:00,3.16859841
2015-01-19 12:00:00,3.16932535
2015-01-19 15:00:00,3.13017726
2015-01-19 18:00:00,3.02846909
2015-01-19 21:00:00,2.98373938
2015-01-20 00:00:00,2.91390443
2015-01-20 03:00:00,2.90259528
2015-01-20 06:00:00,2.99721909
2015-01-20 09:00:00,3.07547116
